changed_feature,status,commit_hash,,comment,,persistdataintohost,sharing between component,sharing host data with container,unkown
volumes,iterable_item_added,93de4c2ba011e20f55eed11838f8365daf3253c3,https://github.com/search?q=93de4c2ba011e20f55eed11838f8365daf3253c3&type=Commits,variable substitution is replaced with actual path,,1?,,,
image,values_changed,38592e3ec4b6f4f4ad547fdebde4ac12a676302b,https://github.com/search?q=38592e3ec4b6f4f4ad547fdebde4ac12a676302b&type=Commits,different image used,,,,,
image,values_changed,ffd70d48bdca6dc9725bc9e0eb598284f46817e4,https://github.com/search?q=ffd70d48bdca6dc9725bc9e0eb598284f46817e4&type=Commits,community image is replaced with official image,,,,,
image,values_changed,62e9b6813b85cd45c33aa73bb8e6c2faf3a595bc,https://github.com/search?q=62e9b6813b85cd45c33aa73bb8e6c2faf3a595bc&type=Commits,image version upgraded,,,,,
image,values_changed,2927afccd685a1d64a3ae269b3d437c2d64df4c3,https://github.com/search?q=2927afccd685a1d64a3ae269b3d437c2d64df4c3&type=Commits,fixed image name,,,,,
image,dictionary_item_removed,f7ed8de616faecdd10a8f1b622cd824c2902c9dc,https://github.com/search?q=f7ed8de616faecdd10a8f1b622cd824c2902c9dc&type=Commits,manual build added,,,,,
image,values_changed,fb554b6b2334a2f4d7e8aa530716e6ae707ee5fd,https://github.com/search?q=fb554b6b2334a2f4d7e8aa530716e6ae707ee5fd&type=Commits,image tag removed,,,,,
image,values_changed,c3eabbacf8f6bcf1d2786d90d49dc550c23ed036,https://github.com/search?q=c3eabbacf8f6bcf1d2786d90d49dc550c23ed036&type=Commits,image version upgraded,,,,,
volumes,iterable_item_removed,398b366b5142a5991198aefc5f13f5da8e660cbf,https://github.com/search?q=398b366b5142a5991198aefc5f13f5da8e660cbf&type=Commits,cleanup,,,,,
image,values_changed,e3bacc653e4df06c2330ffcfed7c8f41dd41d57c,https://github.com/search?q=e3bacc653e4df06c2330ffcfed7c8f41dd41d57c&type=Commits,unavailable image tag used,,,,,
volumes,values_changed,0f5fc89c3549f1af1fb57bccb6a60d1df1c3c2f0,https://github.com/search?q=0f5fc89c3549f1af1fb57bccb6a60d1df1c3c2f0&type=Commits,removed host mapping,,,,,
volumes,dictionary_item_added,d6370b11255f9a9a56111d9b61750c3e5cddc687,https://github.com/search?q=d6370b11255f9a9a56111d9b61750c3e5cddc687&type=Commits,refactor,,,,,1
